sample	HQ reads	HQ reads mapped to reference	percent reads mapped to reference	# ./. genotypes	# 0/0 genotypes	# 0/1 genotypes	# 1/1 genotypes	
LC1	4461013	3301776	74%	3153	12937	3102	3621	
LC9	4706353	2607386	55%	2988	13371	3056	3398	
LC17	4822999	3374253	69%	2898	13072	3465	3378	
LD5	4848851	3680275	75%	2249	13583	3677	3304	
LD13	4901291	3786842	77%	2092	14317	3206	3198	
LB1	4144714	2863921	69%	3415	13214	2382	3802	
LB9	4520241	3210690	71%	2977	13061	3363	3412	
LB17	3596435	2644969	73%	4142	12207	3044	3420	
SWS5	4383908	3344805	76%	2953	12846	3102	3912	
SWS13	4082205	2856752	69%	4579	11893	2660	3681	
IFT1	5204404	3924574	75%	3023	13695	3234	2861	
IFT12	4513721	3202007	70%	4111	12957	2855	2890	
LC2	4313141	3275473	75%	2682	11787	6055	2289	
LC10	4558247	2980815	65%	3095	13452	3236	3030	
LC18	4867280	2980305	61%	2792	13349	3273	3399	
LD6	4962720	3770989	75%	2144	13969	3542	3158	
LD14	5001899	3681022	73%	2361	13392	3310	3750	
LB2	4597261	3283094	71%	2851	12916	3307	3739	
LB10	5053881	3554075	70%	2619	13448	3170	3576	
LB18	4592902	3459831	75%	2427	13389	3552	3445	
SWS6	5543500	4113659	74%	2668	13229	3367	3549	
SWS14	3827907	2868405	74%	3321	12844	3044	3604	
IFT2	4838860	3395169	70%	2980	13429	3327	3077	
IFT13	4874102	3540159	72%	2972	13161	3382	3298	
LC3	4564587	3462740	75%	2568	11843	6037	2365	
LC11	4212578	2846132	67%	3246	13440	2800	3327	
LC19	4439404	2786687	62%	3249	13404	2967	3193	
LD7	4970361	3823682	76%	1879	14148	3542	3244	
LD15	5080446	3698196	72%	2660	13393	3579	3181	
LB3	4556123	3376405	74%	2419	12931	4018	3445	
LB11	4509850	3292533	73%	3056	13086	2932	3739	
LB19	4449778	3268428	73%	2908	12749	3467	3689	
SWS7	5095761	3750686	73%	3056	12918	3206	3633	
SWS15	4200020	3120749	74%	3043	12737	3156	3877	
IFT3	4308523	3143343	72%	2531	13584	3717	2981	
IFT15	5043566	3638130	72%	2830	13544	3479	2960	
LC4	5232225	3657525	69%	2464	13835	3254	3260	
LC12	5129130	3792973	73%	1978	13605	4152	3078	
LC20	5083650	3547047	69%	2436	13706	3195	3476	
LD8	4765739	3716322	77%	2502	13911	3156	3244	
LD16	5620669	4249665	75%	2097	13988	3596	3132	
LB4	5270556	4031284	76%	2319	13634	3179	3681	
LB12	5300039	4013492	75%	2163	13473	3392	3785	
LB20	4956340	3629940	73%	2142	12763	4201	3707	
SWS8	5396403	4086541	75%	2922	13103	2835	3953	
SWS16	4919831	3648627	74%	3793	12362	2574	4084	
IFT5	5318149	3943692	74%	2700	13354	3184	3575	
IFT16	5801470	4261715	73%	2663	13878	3072	3200	
LC5	4885318	3117936	63%	2952	13499	3217	3145	
LC13	4459539	2535040	56%	3217	13111	3271	3214	
LD1	5065340	3710650	73%	2384	13987	3304	3138	
LD9	5005626	3633231	72%	2610	13302	3302	3599	
LD17	5847830	4486684	76%	1853	14032	3640	3288	
LB5	4998273	3684725	73%	2637	13519	3414	3243	
LB13	5434848	4164821	76%	1974	13222	4125	3492	
SWS1	4790000	3648165	76%	2308	13351	3216	3938	
SWS9	5541389	4117956	74%	2698	13271	3673	3171	
SWS17	4384209	3245779	74%	2805	13039	3290	3679	
IFT8	5353768	4121073	76%	2248	14197	3440	2928	
IFT17	5489600	4091113	74%	2378	13958	3550	2927	
LC6	4644492	3248683	69%	2857	13540	3322	3094	
LC14	4580859	2768807	60%	3041	13516	3396	2860	
LD2	5160475	3749946	72%	2776	13294	3550	3193	
LD10	4954493	3650260	73%	2612	13931	2913	3357	
LD18	5549034	3849121	69%	3031	12892	3166	3724	
LB6	4878804	3717083	76%	2548	13608	3047	3610	
LB14	5271581	4009298	76%	2669	13274	3466	3404	
SWS2	4608522	3391207	73%	3193	12517	3433	3670	
SWS10	5010244	3587593	71%	4757	11897	2114	4045	
SWS18	4399198	3152520	71%	3303	12655	3137	3718	
IFT9	4920536	3597534	73%	3118	13457	3038	3200	
IFT19	5348738	3964589	74%	2863	13614	3126	3210	
LC7	5479700	3686520	67%	2743	13574	3450	3046	
LC15	5152367	3057417	59%	2583	13251	3711	3268	
LD3	6238509	4780035	76%	1827	14032	3455	3499	
LD11	5342022	4072434	76%	2008	14059	3010	3736	
LD19	5861599	4333759	73%	2009	13563	3821	3420	
LB7	4988773	3740496	74%	2487	13431	3347	3548	
